year,period_start,period_end,observations,is_partial_year
2022,2022-01-03,2022-12-30,251,False
2023,2023-01-03,2023-12-29,250,False
2024,2024-01-02,2024-12-31,252,False
2025,2025-01-02,2025-12-31,250,False
2026,2026-01-02,2026-05-01,83,True
